0,262,285,253,393,209,45,94,275,29,108,197,59,16,274,156,1053,137,116,27,156,228,62,119,64,935,516,1329,57,97,61,461,75,75,7,61,48,25,20,14,42,43,25,28,128
262,0,311,32,435,162,41,35,226,132,41,15,113,23,209,147,374,85,117,0,127,83,152,38,100,480,397,831,16,156,19,230,11,37,53,55,22,18,40,59,6,22,14,78,150
285,311,0,48,272,149,42,23,212,94,48,67,89,50,204,124,243,104,218,69,152,134,87,70,19,634,616,882,1,69,0,224,57,30,10,26,0,0,37,32,26,24,7,39,110
253,32,48,0,107,21,22,86,129,11,33,24,16,18,74,170,604,52,41,7,54,70,28,19,49,237,239,472,18,61,18,149,9,34,9,26,4,0,18,6,9,3,0,11,75
393,435,272,107,0,199,88,114,355,205,113,91,150,40,286,107,726,143,230,55,125,225,150,144,84,625,531,902,5,69,126,404,24,61,8,90,96,47,114,85,53,5,26,33,116
209,162,149,21,199,0,92,54,187,142,37,17,31,29,375,40,286,120,267,18,220,201,57,138,0,634,557,913,8,81,46,235,45,21,0,34,80,11,64,49,74,20,25,20,136
45,41,42,22,88,92,0,12,140,164,12,1,68,70,526,73,345,124,208,28,82,199,164,100,23,681,335,1098,0,48,31,349,4,23,5,0,8,17,19,25,5,24,22,45,91
94,35,23,86,114,54,12,0,164,11,136,59,49,10,88,301,1025,63,32,47,78,113,57,20,21,712,503,1083,13,84,46,240,33,24,5,30,37,0,33,7,43,4,3,22,39
275,226,212,129,355,187,140,164,0,138,114,264,102,133,243,202,804,167,207,76,166,245,105,53,94,1164,604,1455,67,74,13,313,52,50,9,53,90,66,51,106,55,14,26,38,194
29,132,94,11,205,142,164,11,138,0,7,111,70,122,351,90,541,114,307,22,199,289,141,107,51,801,586,1431,38,63,23,265,25,40,3,40,49,17,67,15,45,15,0,69,116
108,41,48,33,113,37,12,136,114,7,0,50,78,20,70,208,640,83,19,11,117,26,31,16,63,318,78,275,39,26,7,87,3,66,12,0,5,1,9,0,0,21,0,16,28
197,15,67,24,91,17,1,59,264,111,50,0,44,29,108,173,853,73,134,53,126,98,34,3,68,499,233,767,23,73,55,249,42,44,2,10,35,0,17,33,3,11,16,6,125
59,113,89,16,150,31,68,49,102,70,78,44,0,65,195,103,649,264,202,60,90,197,87,60,94,741,356,1045,16,82,29,309,43,26,29,13,67,5,110,26,21,0,16,25,73
16,23,50,18,40,29,70,10,133,122,20,29,65,0,211,110,294,63,204,25,62,148,86,36,27,300,403,775,22,48,9,181,20,20,3,0,0,0,24,11,21,9,0,0,48
274,209,204,74,286,375,526,88,243,351,70,108,195,211,0,140,695,373,578,43,195,452,350,406,74,966,738,1694,14,218,110,543,101,138,83,158,36,121,118,93,75,57,84,111,220
