61,53,36,51,10,65,24,106,80,8,6,91,17,40,0,47,6,55,22,28,10,41,9,15,66,30,49,54,24,24,8,39,31,0,27,148,66,13,104,20,20,147,25,55,45,26,14,10,14,62,0,10,72,27,0,27,60,21,109,0,33,176,213,1,0,637,0,20,191,0,25,0,135,45,21,0,11,0,0,0,64,0,47,0,16,45,0,0,0,0,29,0,0,25,0,4,9,23,9,6
20,16,0,28,2,0,30,34,6,0,18,11,2,6,47,0,2,12,11,11,0,12,0,1,0,5,12,14,51,32,0,18,2,0,5,132,27,30,87,11,23,19,69,11,0,27,13,17,18,8,0,0,14,27,6,0,16,0,61,0,7,77,50,0,0,385,0,18,51,0,0,0,99,4,4,0,0,8,0,3,0,3,9,0,5,29,0,0,0,0,0,24,0,22,0,0,21,0,0,0
2,0,0,0,0,0,10,6,0,0,0,4,0,0,6,2,0,18,0,0,0,1,0,0,0,1,0,11,21,6,0,0,3,0,4,101,34,0,21,7,11,28,9,5,5,0,0,19,19,0,10,2,16,5,4,0,29,0,13,0,0,70,99,0,0,245,0,12,26,0,0,0,76,0,13,0,0,0,0,0,16,5,0,0,0,13,1,5,0,0,0,0,0,0,0,0,0,0,0,0
104,41,11,17,34,52,94,106,65,43,17,40,69,47,55,12,18,0,47,39,46,30,14,112,124,27,10,32,36,62,67,85,20,0,70,72,48,45,74,30,1,32,15,7,0,19,0,25,32,8,26,11,34,13,0,17,31,0,29,13,8,74,108,8,15,294,0,21,48,0,5,0,62,21,0,28,0,38,0,2,17,0,32,15,0,25,37,0,0,3,15,9,0,18,16,0,0,13,18,22
4,0,9,0,0,17,43,57,0,11,5,0,16,0,22,11,0,47,0,0,26,3,22,67,33,0,0,5,0,5,0,42,28,0,23,0,0,34,44,21,0,30,0,49,0,11,4,35,28,7,12,0,36,4,0,2,14,4,15,0,18,128,40,16,6,358,0,15,105,6,0,2,55,3,0,0,0,0,0,5,0,0,0,6,8,70,0,0,0,0,0,0,1,0,0,0,3,5,23,0
12,7,0,0,0,0,2,6,18,36,25,0,5,0,28,11,0,39,0,0,42,39,26,19,22,24,0,0,6,0,87,23,11,0,10,22,0,41,166,14,5,0,0,4,0,0,0,6,0,0,10,3,27,13,0,11,30,3,56,0,5,163,159,0,3,360,0,0,92,0,0,18,122,0,8,7,0,0,0,0,0,7,0,0,30,23,0,5,0,10,0,0,0,0,0,0,0,29,0,8
49,0,0,0,0,23,25,59,0,0,15,3,0,6,10,0,0,46,26,42,0,32,70,36,84,0,5,0,0,0,43,90,12,0,0,39,0,38,288,8,0,13,0,6,0,0,20,0,10,8,31,0,24,0,0,0,61,0,56,0,26,104,160,0,10,481,0,38,97,0,14,0,32,5,0,0,0,0,0,11,15,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,11,0,0,0
51,0,0,0,0,24,16,57,42,1,10,0,24,13,41,12,1,30,3,39,32,0,8,4,223,13,0,0,5,0,75,117,43,0,0,87,4,100,338,64,6,19,12,2,0,10,0,48,0,15,2,3,60,0,0,0,9,0,7,0,35,56,165,20,24,515,0,42,140,21,0,0,117,10,36,14,1,0,0,0,7,0,0,9,0,31,4,12,0,3,17,4,3,0,15,0,12,0,0,0
18,5,2,24,0,0,31,49,0,32,19,0,8,13,9,0,0,14,22,26,70,8,0,39,118,29,0,0,2,0,50,71,52,9,20,6,0,75,136,18,0,7,0,19,0,6,0,0,0,42,9,0,19,21,0,0,18,0,0,13,21,28,33,33,15,222,0,0,33,0,0,0,56,0,42,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,21,0,5,0,0
63,95,0,22,0,45,15,65,14,12,18,0,2,7,15,1,0,112,67,19,36,4,39,0,141,33,45,0,14,0,74,165,30,14,9,75,24,59,326,11,13,88,42,45,0,1,2,3,0,21,6,41,88,3,0,5,64,36,45,0,36,120,134,29,17,781,0,51,76,11,9,35,190,7,41,18,0,0,0,15,2,24,9,0,0,103,0,2,0,0,2,0,0,16,6,0,0,16,3,0
106,138,15,39,11,18,82,162,40,138,17,13,82,70,66,0,0,124,33,22,84,223,118,141,0,66,36,95,33,57,355,786,104,19,108,189,88,419,727,311,50,107,29,26,23,18,15,90,45,58,71,64,104,16,27,10,93,35,55,33,91,158,165,81,36,604,0,97,109,0,16,24,117,66,20,56,0,13,14,44,0,20,34,34,15,74,58,41,6,42,43,0,13,0,8,11,0,34,13,18
6,32,2,7,47,38,50,6,0,0,64,0,16,32,30,5,1,27,0,24,0,13,29,33,66,0,18,0,8,20,22,59,48,0,19,46,8,0,139,24,18,76,0,0,1,0,0,0,12,16,17,0,16,21,0,7,46,0,70,31,19,107,185,9,18,545,0,3,99,0,0,0,107,0,0,0,0,10,18,12,1,0,26,0,13,51,13,0,9,0,0,0,0,7,0,0,14,5,0,0
0,5,0,5,0,0,40,24,14,0,0,12,11,0,49,12,0,10,0,0,5,0,0,45,36,18,0,29,0,4,7,30,49,0,35,57,6,12,163,12,3,89,16,61,0,20,15,0,15,5,0,0,69,58,0,56,54,21,21,12,8,58,143,4,0,646,0,28,103,7,0,6,61,0,17,8,2,0,0,8,14,15,0,20,4,37,0,0,0,16,6,0,0,0,13,1,32,14,0,0
