Tract,Lat,Lon,Population,DensityPerAcre
T0,47.7234243333333,-122.300169333333,6113,11.6666666666667
T1,47.7239045,-122.3318095,5114.5,5
T2,47.7221983333333,-122.357896666667,4519,11.6666666666667
T3,47.7091393333333,-122.286896,2181,5
T4,47.7056066666667,-122.324063666667,4445.66666666667,11.6666666666667
T5,47.7012425,-122.360751,6450,10
T6,47.6926896666667,-122.388334666667,4268,8.33333333333333
T7,47.6919513333333,-122.289158333333,4021.66666666667,11.6666666666667
T8,47.69301675,-122.32712775,4346.75,15
T9,47.6848976666667,-122.361388,4765,15
T10,47.6793695,-122.2749155,2731,10
T11,47.6814873333333,-122.303211,3173.33333333333,15
T12,47.6713866666667,-122.327366666667,3866.33333333333,11.6666666666667
T13,47.674042,-122.3572995,3619,15
T14,47.6727203333333,-122.383154,6882,15
T15,47.6667095,-122.2791855,7703.5,10
T16,47.6638565,-122.30828725,6525,30.625
T17,47.6566683333333,-122.331337333333,4895.33333333333,18.3333333333333
T18,47.6600183333333,-122.351214666667,4759.33333333333,18.3333333333333
T19,47.637016,-122.293522,4405,5
T20,47.636242,-122.322513666667,4164.33333333333,15
T21,47.6372916666667,-122.351444,4842.66666666667,18.3333333333333
T22,47.6407943333333,-122.372431333333,5325,11.6666666666667
T23,47.6501923333333,-122.397643333333,5708.66666666667,8.33333333333333
T24,47.623263,-122.303547333333,3727,18.3333333333333
T25,47.6160463333333,-122.325856166667,4921.83333333333,41.6666666666667
T26,47.62077125,-122.35275625,5230,33.75
T27,47.6044196,-122.332058,3351.4,34
T28,47.61009,-122.2926125,4324,10
T29,47.609018,-122.311047,4681.66666666667,25
T30,47.594206,-122.304803333333,4484.66666666667,15
T31,47.582761,-122.323247,2354,5
T32,47.5737945,-122.288733,6229.5,10
T33,47.5630095,-122.305351,8591.5,12.5
T34,47.553047,-122.275876,5387.5,10
T35,47.539618,-122.279432333333,5940.66666666667,15
T36,47.5172636666667,-122.269172666667,6676.33333333333,8.33333333333333
T37,47.5772253333333,-122.397791,5238.33333333333,11.6666666666667
T38,47.569289,-122.3757635,5492.5,10
T39,47.5522445,-122.3865105,6826,15
T40,47.545227,-122.362475,5830,7.5
T41,47.521378,-122.3835955,4881,5
T42,47.5277135,-122.3688705,6196,15
T43,47.52597,-122.335167,4945,5
T44,47.545576,-122.321401,1287,5
