1,0,,0,0,,0
2,1,,1,1,,0
3,2,,2,2,,0
4,3,,3,3,,0
5,5,,4,4,,0
6,4,,5,5,,0
7,6,,6,6,,0
8,12,,7,7,,0
9,7,,8,8,,0
10,8,,9,9,,0
10,9,,10,10,,0
11,11,,11,11,,0
11,10,,12,12,,0
12,14,,13,13,,0
13,13,,14,14,,0
14,18,,15,15,,0
15,17,,16,16,,0
16,16,,17,17,,0
17,15,,18,18,,0
18,19,,19,19,,0
19,20,,20,20,,0
20,21,,21,21,,0
21,22,,22,22,,0
22,23,,23,23,,0
22,37,,24,24,,0
23,38,,25,25,,0
24,25,,26,26,,0
24,24,,27,27,,0
25,36,,28,28,,0
25,41,,29,29,,0
26,26,,30,30,,0
27,27,,31,31,,0
28,28,,32,32,,0
29,29,,33,33,,0
30,30,,34,34,,0
31,40,,35,35,,0
32,51,,36,36,,0
32,42,,37,37,,0
33,35,,38,38,,0
33,43,,39,39,,0
34,44,,40,40,,0
35,34,,41,41,,0
35,33,,42,42,,0
36,32,,43,43,,0
36,45,,44,44,,0
37,31,,45,45,,0
38,39,,46,46,,0
39,52,,48,48,,0
40,50,,49,49,,0
41,49,,50,50,,0
42,48,,51,51,,0
42,47,,52,51,,0
43,46,,53,52,,0
44,53,,54,53,,0
45,55,,55,54,,0
46,56,,56,55,,0
47,54,,57,56,,0
48,58,,58,57,,0
49,59,,59,58,,0
50,60,,60,59,,0
51,61,,61,60,,0
52,62,,62,61,,0
53,65,,63,62,,0
53,64,,64,63,,0
54,57,,65,64,,0
55,68,,66,65,,0
56,67,,67,66,,0
57,66,,68,67,,0
58,69,,69,68,,0
59,70,,70,69,,0
60,63,,71,70,,0
61,75,,72,71,,0
61,74,,73,72,,0
62,73,,74,73,,0
62,72,,75,74,,0
63,71,,76,75,,0
63,79,,77,76,,0
63,80,,78,77,,0
64,76,,79,78,,0
64,78,,80,79,,0
65,77,,81,80,,0
66,84,,82,81,,0
66,83,,83,82,,0
66,82,,84,83,,0
66,81,,85,84,,0
67,88,,86,85,,0
68,87,,87,86,,0
68,86,,88,87,,0
69,85,,89,88,,0
69,92,,90,89,,0
69,91,,91,90,,0
70,90,,92,91,,0
71,89,,93,92,,0
72,94,,94,93,,0
73,93,,95,94,,0
74,95,,96,95,,0
75,101,,97,96,,0
76,102,,98,97,,0
77,96,,99,98,,0
78,97,,100,99,,0
79,98,,101,100,,0
80,99,,102,101,,0
81,100,,103,102,,0
82,106,,104,103,,0
83,107,,105,104,,0
84,108,,106,105,,0
85,109,,107,106,,0
86,110,,108,107,,0
87,105,,109,108,,0
88,104,,110,109,,0
89,103,,111,110,,0
90,112,,112,111,,0
90,113,,113,112,,0
91,111,,114,113,,0
92,118,,115,114,,0
93,117,,116,115,,0
94,116,,117,116,,0
95,115,,118,117,,0
96,122,,119,118,,0
97,114,,120,119,,0
98,119,,121,120,,0
99,120,,122,121,,0
100,121,,123,122,,0
