         211828 function calls (211189 primitive calls) in 2.652 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      325    0.000    0.000    0.001    0.000 _asarray.py:86(asanyarray)
       16    0.000    0.000    0.001    0.000 _base.py:316(__init__)
       20    0.000    0.000    0.000    0.000 _base.py:386(__get_result)
       16    0.000    0.000    0.000    0.000 _base.py:392(add_done_callback)
       20    0.000    0.000    2.286    0.114 _base.py:412(result)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
       12    0.000    0.000    0.000    0.000 _collections_abc.py:271(__subclasshook__)
       14    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:367(__subclasshook__)
      106    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
       14    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
       25    0.000    0.000    0.000    0.000 _collections_abc.py:672(keys)
       25    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
      575    0.000    0.000    0.001    0.000 _collections_abc.py:719(__iter__)
       14    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
       25    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
       25    0.000    0.000    0.000    0.000 _dtype.py:307(_name_includes_bit_suffix)
       25    0.000    0.000    0.000    0.000 _dtype.py:321(_name_get)
        1    0.000    0.000    0.000    0.000 _memmapping_reducer.py:115(__init__)
        2    0.000    0.000    0.000    0.000 _memmapping_reducer.py:168(_get_temp_dir)
        1    0.000    0.000    0.000    0.000 _memmapping_reducer.py:338(__init__)
        8    0.000    0.000    0.000    0.000 _memmapping_reducer.py:359(__reduce__)
        1    0.000    0.000    0.000    0.000 _memmapping_reducer.py:473(get_memmapping_reducers)
        1    0.000    0.000    0.009    0.009 _memmapping_reducer.py:518(__init__)
        1    0.000    0.000    0.009    0.009 _memmapping_reducer.py:533(set_current_context)
        2    0.000    0.000    0.009    0.004 _memmapping_reducer.py:537(register_new_context)
        2    0.000    0.000    0.008    0.004 _memmapping_reducer.py:583(register_folder_finalizer)
        1    0.000    0.000    0.000    0.000 _memmapping_reducer.py:612(_unlink_temporary_resources)
        1    0.000    0.000    0.000    0.000 _methods.py:53(_any)
        4    0.000    0.000    0.000    0.000 _methods.py:56(_all)
       16    0.000    0.000    0.000    0.000 _parallel_backends.py:124(get_nested_backend)
        2    0.000    0.000    0.000    0.000 _parallel_backends.py:137(retrieval_context)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:154(_prepare_worker_env)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:185(in_main_thread)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:280(__init__)
       17    0.000    0.000    0.000    0.000 _parallel_backends.py:285(compute_batch_size)
       17    0.000    0.000    0.000    0.000 _parallel_backends.py:34(__init__)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:361(reset_batch_stats)
        1    0.000    0.000    0.012    0.012 _parallel_backends.py:486(configure)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:501(effective_n_jobs)
       16    0.000    0.000    0.089    0.006 _parallel_backends.py:529(apply_async)
       20    0.000    0.000    2.286    0.114 _parallel_backends.py:537(wrap_future_result)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:546(terminate)
       16    0.000    0.000    0.000    0.000 _parallel_backends.py:590(__init__)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:80(start_call)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:83(stop_call)
       98    0.000    0.000    0.000    0.000 _posix_reduction.py:28(_mk_inheritable)
       32    0.000    0.000    0.000    0.000 _posix_reduction.py:34(DupFd)
       32    0.000    0.000    0.001    0.000 _posix_reduction.py:66(reduce_connection)
       78    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
       78    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
       39    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__init__)
       39    0.000    0.000    0.000    0.000 _ufunc_config.py:433(__enter__)
       39    0.000    0.000    0.000    0.000 _ufunc_config.py:438(__exit__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
    146/6    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
       32    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
        1    0.000    0.000    0.000    0.000 base.py:1032(__iter__)
        2    0.000    0.000    0.000    0.000 base.py:1175(name)
        1    0.000    0.000    0.000    0.000 base.py:1182(name)
      192    0.000    0.000    0.000    0.000 base.py:256(is_dtype)
      5/3    0.000    0.000    0.000    0.000 base.py:293(__new__)
        4    0.000    0.000    0.000    0.000 base.py:3870(_values)
       20    0.000    0.000    0.000    0.000 base.py:4083(__getitem__)
      145    0.000    0.000    0.000    0.000 base.py:413(find)
        2    0.000    0.000    0.000    0.000 base.py:4196(equals)
        2    0.000    0.000    0.000    0.000 base.py:424(<genexpr>)
        1    0.000    0.000    0.000    0.000 base.py:4275(identical)
        2    0.000    0.000    0.000    0.000 base.py:4288(<genexpr>)
        3    0.000    0.000    0.000    0.000 base.py:463(_simple_new)
        2    0.000    0.000    0.000    0.000 base.py:520(is_)
        4    0.000    0.000    0.000    0.000 base.py:544(_reset_identity)
        9    0.000    0.000    0.000    0.000 base.py:5557(ensure_index)
       13    0.000    0.000    0.000    0.000 base.py:5654(maybe_extract_name)
        9    0.000    0.000    0.000    0.000 base.py:567(__len__)
        1    0.000    0.000    0.000    0.000 base.py:5670(_maybe_cast_with_dtype)
        1    0.000    0.000    0.000    0.000 base.py:5724(_maybe_cast_data_without_dtype)
        1    0.000    0.000    0.000    0.000 base.py:5795(_try_convert_to_int_array)
        3    0.000    0.000    0.000    0.000 base.py:590(dtype)
        3    0.000    0.000    0.000    0.000 blocks.py:124(__init__)
        3    0.000    0.000    0.000    0.000 blocks.py:135(_check_ndim)
        5    0.000    0.000    0.000    0.000 blocks.py:201(internal_values)
        1    0.000    0.000    0.000    0.000 blocks.py:213(get_values)
        4    0.000    0.000    0.000    0.000 blocks.py:233(mgr_locs)
        3    0.000    0.000    0.000    0.000 blocks.py:237(mgr_locs)
