         4980843980 function calls (4980842900 primitive calls) in 3733.126 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 base.py:3608(values)
        4    0.000    0.000    0.000    0.000 base.py:3663(get_values)
        1    0.001    0.001    0.001    0.001 base.py:3752(_try_convert_to_int_index)
        3    0.000    0.000    0.000    0.000 base.py:3806(_coerce_to_ndarray)
      123    0.000    0.000    0.000    0.000 base.py:3940(__getitem__)
        2    0.000    0.000    0.001    0.000 base.py:4051(equals)
        1    0.000    0.000    0.000    0.000 base.py:4071(identical)
        2    0.000    0.000    0.000    0.000 base.py:4077(<genexpr>)
        2    0.000    0.000    0.000    0.000 base.py:475(<genexpr>)
        3    0.000    0.000    0.000    0.000 base.py:504(_simple_new)
        9    0.000    0.000    0.003    0.000 base.py:5318(ensure_index)
        2    0.000    0.000    0.000    0.000 base.py:613(is_)
        4    0.000    0.000    0.000    0.000 base.py:633(_reset_identity)
       13    0.000    0.000    0.000    0.000 base.py:652(__len__)
        1    0.000    0.000    0.000    0.000 base.py:676(dtype)
     1155    0.001    0.000    0.009    0.000 base.py:75(is_dtype)
        1    0.264    0.264    8.027    8.027 belief_propagation.py:11(__init__)
   163724    2.028    0.000  863.745    0.005 belief_propagation.py:113(_compute_fac2var_message)
   163724    0.095    0.000    0.095    0.000 belief_propagation.py:118(<listcomp>)
   163724    3.821    0.000 2673.653    0.016 belief_propagation.py:123(_compute_var2fac_message)
       11    0.008    0.001    2.208    0.201 belief_propagation.py:135(_is_converged)
      133    0.030    0.000    0.131    0.001 belief_propagation.py:138(<listcomp>)
        1    0.001    0.001    0.184    0.184 belief_propagation.py:14(<dictcomp>)
      133    0.039    0.000    0.137    0.001 belief_propagation.py:141(<listcomp>)
   335073  632.413    0.002 2234.432    0.007 belief_propagation.py:148(_get_in_messages)
   171227    1.328    0.000    4.346    0.000 belief_propagation.py:150(<listcomp>)
   163846   49.602    0.000  203.460    0.001 belief_propagation.py:153(<listcomp>)
      122    0.003    0.000    1.898    0.016 belief_propagation.py:33(_compute_marginals_var)
     7503    0.079    0.000   37.648    0.005 belief_propagation.py:42(_compute_marginals_fac)
        1    0.327    0.327 3724.161 3724.161 belief_propagation.py:52(run)
       11    0.666    0.061   12.316    1.120 belief_propagation.py:54(<dictcomp>)
        1    0.040    0.040    0.641    0.641 belief_propagation.py:70(<dictcomp>)
        1    0.008    0.008    0.161    0.161 belief_propagation.py:71(<dictcomp>)
