         31511131 function calls (31313021 primitive calls) in 76.056 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   390167    0.777    0.000    4.085    0.000 _ufunc_config.py:446(__exit__)
      112    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
      112    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
      112    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      112    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
      189    0.000    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
      656    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
      114    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
      139    0.000    0.000    0.003    0.000 abc.py:178(__instancecheck__)
    268/9    0.001    0.000    0.003    0.000 abc.py:194(__subclasscheck__)
      125    0.000    0.000    0.001    0.000 arrays.py:7(extract_array)
        1    0.000    0.000    0.000    0.000 base.py:1117(__iter__)
      4/3    0.000    0.000    0.002    0.001 base.py:253(__new__)
        4    0.000    0.000    0.000    0.000 base.py:3608(values)
        4    0.000    0.000    0.000    0.000 base.py:3663(get_values)
        1    0.001    0.001    0.001    0.001 base.py:3752(_try_convert_to_int_index)
        3    0.000    0.000    0.000    0.000 base.py:3806(_coerce_to_ndarray)
      123    0.000    0.000    0.000    0.000 base.py:3940(__getitem__)
        2    0.000    0.000    0.000    0.000 base.py:4051(equals)
        1    0.000    0.000    0.000    0.000 base.py:4071(identical)
        2    0.000    0.000    0.000    0.000 base.py:4077(<genexpr>)
        2    0.000    0.000    0.000    0.000 base.py:475(<genexpr>)
        3    0.000    0.000    0.000    0.000 base.py:504(_simple_new)
        9    0.000    0.000    0.003    0.000 base.py:5318(ensure_index)
        2    0.000    0.000    0.000    0.000 base.py:613(is_)
        4    0.000    0.000    0.000    0.000 base.py:633(_reset_identity)
       13    0.000    0.000    0.000    0.000 base.py:652(__len__)
        1    0.000    0.000    0.000    0.000 base.py:676(dtype)
     1155    0.001    0.000    0.009    0.000 base.py:75(is_dtype)
        1    0.000    0.000    0.000    0.000 blocks.py:161(external_values)
        5    0.000    0.000    0.000    0.000 blocks.py:165(internal_values)
        1    0.000    0.000    0.000    0.000 blocks.py:175(get_values)
        9    0.000    0.000    0.000    0.000 blocks.py:195(mgr_locs)
        3    0.000    0.000    0.000    0.000 blocks.py:199(mgr_locs)
        1    0.000    0.000    0.000    0.000 blocks.py:2626(__init__)
      126    0.001    0.000    0.007    0.000 blocks.py:3034(get_block_type)
        1    0.000    0.000    0.000    0.000 blocks.py:304(shape)
        2    0.000    0.000    0.000    0.000 blocks.py:308(dtype)
        3    0.000    0.000    0.001    0.000 blocks.py:3080(make_block)
        1    0.000    0.000    0.000    0.000 blocks.py:312(ftype)
        3    0.000    0.000    0.000    0.000 blocks.py:78(__init__)
        3    0.000    0.000    0.000    0.000 blocks.py:89(_check_ndim)
        3    0.000    0.000    0.000    0.000 cast.py:1193(construct_1d_object_array_from_listlike)
      123    0.000    0.000    0.000    0.000 cast.py:1218(construct_1d_ndarray_preserving_na)
      124    0.001    0.000    0.002    0.000 cast.py:832(maybe_castable)
      123    0.000    0.000    0.004    0.000 cast.py:846(maybe_infer_to_datetimelike)
      125    0.001    0.000    0.005    0.000 cast.py:953(maybe_cast_to_datetime)
        4    0.000    0.000    0.000    0.000 common.py:1078(is_datetime64_any_dtype)
        1    0.000    0.000    0.000    0.000 common.py:112(_validate_header_arg)
      405    0.000    0.000    0.000    0.000 common.py:117(classes)
      405    0.000    0.000    0.000    0.000 common.py:119(<lambda>)
        8    0.000    0.000    0.000    0.000 common.py:1198(is_datetime_or_timedelta_dtype)
        2    0.000    0.000    0.002    0.001 common.py:120(_stringify_path)
      253    0.000    0.000    0.000    0.000 common.py:122(classes_and_not_datetimelike)
      253    0.000    0.000    0.000    0.000 common.py:127(<lambda>)
      375    0.000    0.000    0.002    0.000 common.py:131(is_object_dtype)
        2    0.000    0.000    0.000    0.000 common.py:1320(is_datetimelike_v_numeric)
        7    0.000    0.000    0.000    0.000 common.py:1431(needs_i8_conversion)
      123    0.000    0.000    0.000    0.000 common.py:144(cast_scalar_indexer)
        1    0.000    0.000    0.000    0.000 common.py:1513(is_string_like_dtype)
