Tract,CALI
V1,-0.9151635163297868
V2,-0.9237040047101084
V3,-0.8835549949274211
V4,-0.8932727724475436
V5,-0.9208593919311676
V6,-0.9175025883480326
V7,-0.9097125178821858
V8,-0.8674161646697851
V9,-0.9083400066129448
V10,-0.8831643337833915
V11,-0.9412101564315493
V12,-0.8955795096502814
V13,-0.9789515441776618
V14,-0.9370146260044683
V15,-0.8884375022317013
V16,-0.8744208351063525
V17,-0.909822002611788
V18,-0.9076043874456385
V19,-0.8354963656643912
whole GM,25.255920108947528
