Tract,CALI
V1,-0.9999999973714327
V2,-0.9999999974291591
V3,-0.9999999517299774
V4,-0.999999990248501
V5,-0.9999999974220555
V6,-0.9999999974141538
V7,-0.9999999972132844
V8,-0.9999992790297918
V9,-0.999999997215505
V10,-0.9999999473550231
V11,-0.9999999974330951
V12,-0.999999992648932
V13,-0.9999999974331237
V14,-0.9999999974330396
V15,-0.9999999773740677
V16,-0.9999997831520593
V17,-0.9999999973047083
V18,-0.99999999713755
V19,-0.9999337758206607
whole GM,116.4950629153478
