Tract,CALI
V1,-0.6139129704453861
V2,-0.6139129704453641
V3,-0.6139129704453761
V4,-0.6139129704453528
V5,-0.6139129704453601
V6,-0.6139129704453581
V7,-0.613912970445375
V8,-0.6139129704462345
V9,-0.6139129704453636
V10,-0.6139129704453867
V11,-0.6139129704453582
V12,-0.6139129704453612
V13,-0.6139129704453619
V14,-0.6139129704453739
V15,-0.6139129704453793
V16,-0.6139129704453639
V17,-0.6139129704453747
V18,-0.613912970445379
V19,-0.6139129691363032
whole GM,222.64904978251786
