Tract,CALI
V1,-0.9999998795511764
V2,-0.9999998795516304
V3,-0.9999998780637543
V4,-0.9999998793958422
V5,-0.9999998795515891
V6,-0.9999998795515352
V7,-0.9999998795494304
V8,-0.9999998367191208
V9,-0.9999998795494577
V10,-0.99999987788814
V11,-0.9999998795516469
V12,-0.9999998794567615
V13,-0.9999998795516469
V14,-0.9999998795516468
V15,-0.999999879006621
V16,-0.9999998697564526
V17,-0.9999998795504975
V18,-0.9999998795484698
V19,-0.9999892163253891
whole GM,137.90638575269932
