Tract,CALI
V1,-0.9859072523267347
V2,-0.9859072523267347
V3,-0.9859072523266909
V4,-0.9859072523267338
V5,-0.985907252326735
V6,-0.9859072523267343
V7,-0.9859072523267348
V8,-0.9859072523193098
V9,-0.9859072523267356
V10,-0.9859072523266856
V11,-0.9859072523267349
V12,-0.9859072523267344
V13,-0.9859072523267346
V14,-0.9859072523267343
V15,-0.9859072523267297
V16,-0.9859072523259284
V17,-0.9859072523267346
V18,-0.9859072523267353
V19,-0.9859072120550808
whole GM,202.87224941798573
