Tract,CALI
V1,-0.9590886287348476
V2,-0.9590886287348472
V3,-0.9590886287348307
V4,-0.9590886287348482
V5,-0.9590886287348469
V6,-0.959088628734851
V7,-0.9590886287348477
V8,-0.959088628732148
V9,-0.9590886287348485
V10,-0.9590886287348318
V11,-0.9590886287348485
V12,-0.9590886287348466
V13,-0.9590886287348493
V14,-0.9590886287348502
V15,-0.959088628734846
V16,-0.9590886287345366
V17,-0.9590886287348468
V18,-0.959088628734849
V19,-0.9590886062241548
whole GM,208.8901678434843
