Tract,CALI
V1,-0.9610982604689383
V2,-0.9681213456274113
V3,-0.9320411109374969
V4,-0.9417488185684357
V5,-0.9658403245195577
V6,-0.9635819487036624
V7,-0.9565872296313337
V8,-0.9146627106686421
V9,-0.9558011951483099
V10,-0.931725212332219
V11,-0.9795656315802117
V12,-0.9438664062410801
V13,-0.9967309588439349
V14,-0.9772193150185832
V15,-0.9369170129016688
V16,-0.9227092820389041
V17,-0.9571685080836209
V18,-0.9547463518165674
V19,-0.8757366441456853
whole GM,28.296392183695463
