Tract,CALI
V1,-0.9871984423665412
V2,-0.9909248072522289
V3,-0.9685309021361945
V4,-0.9754989552056073
V5,-0.9897363906479539
V6,-0.988805847101964
V7,-0.9847195216706778
V8,-0.9545816773247792
V9,-0.984501413417794
V10,-0.9683160936748919
V11,-0.9954533701170518
V12,-0.976868065268167
V13,-0.9997728874878636
V14,-0.994680440453522
V15,-0.9720352411162609
V16,-0.9614250125851024
V17,-0.9853477954312571
V18,-0.9837542556729116
V19,-0.916936389480954
whole GM,32.8309391801763
