Tract,CALI
V1,-0.9405592960416276
V2,-0.9405592960416274
V3,-0.9405592960416169
V4,-0.940559296041625
V5,-0.9405592960416298
V6,-0.9405592960416276
V7,-0.9405592960416289
V8,-0.9405592960399293
V9,-0.9405592960416294
V10,-0.9405592960416143
V11,-0.940559296041625
V12,-0.9405592960416282
V13,-0.9405592960416289
V14,-0.9405592960416258
V15,-0.9405592960416311
V16,-0.9405592960414155
V17,-0.9405592960416265
V18,-0.9405592960416302
V19,-0.9405592781691919
whole GM,211.03068872552382
