Tract,Z_i,time,P_i
V1,13.706365952249019,0.44444918632507324,0.9282169600895797
V2,13.6043194118134,0.45055222511291504,0.9213062056357146
V3,13.790554950444719,0.4343411922454834,0.933918373305194
V4,13.777171676509306,0.44196391105651855,0.9330120366517256
V5,13.627937966434793,0.5508031845092773,0.922905691819635
V6,13.661004404751136,0.4542710781097412,0.9251450037540978
V7,13.752651189684213,0.4480869770050049,0.9313514701806422
V8,13.835643193391636,0.47483301162719727,0.9369718210206405
V9,13.735457415053661,0.47597432136535645,0.9301870803434208
V10,13.78532617086536,0.49614906311035156,0.9335642720136453
V11,13.836806144307667,0.4891703128814697,0.9370505779112541
V12,13.772022904862997,0.4722940921783447,0.9326633536249932
V13,13.30246835588143,0.510260820388794,0.900864370760364
V14,13.611087973154499,0.4392380714416504,0.9217645834036877
V15,13.78506805714125,0.4721050262451172,0.9335467921406297
V16,13.81036447762856,0.40685224533081055,0.9352599060767147
V17,13.720160292204518,0.33223485946655273,0.9291511347894632
V18,13.835879413454162,0.32279086112976074,0.9369878182199793
V19,13.882294145394733,0.29880785942077637,0.9401310978854533
whole GM,14.766338627260437,0.3469381332397461,N/A
