Tract,logZi,time,CALI
V1,7.695168976992977,17.571561098098755,0.043641447217646734
V2,8.378366156718277,16.782875061035156,1.0666174091855694
V3,9.028797346230208,17.45696496963501,2.9603973389271703
V4,8.378366156719611,17.6495521068573,1.0666174091883263
V5,8.37836615671961,19.732869148254395,1.0666174091883227
V6,8.378366156719611,15.388788938522339,1.0666174091883263
V7,8.378366156719611,16.65951681137085,1.0666174091883263
V8,9.061563336446246,16.695719957351685,3.0923130519073716
V9,8.378366156719611,16.433377027511597,1.0666174091883263
V10,8.345600168444374,17.59460997581482,1.0
V11,8.37836615671961,16.776183128356934,1.0666174091883227
V12,8.37836615671961,15.989717960357666,1.0666174091883227
V13,8.378366156719611,15.033699750900269,1.0666174091883263
V14,9.061563336444912,16.236545085906982,3.092313051901912
V15,8.37836615671961,16.33987307548523,1.0666174091883227
V16,8.378366156719611,17.431856870651245,1.0666174091883263
V17,8.378366156719611,16.929983139038086,1.0666174091883263
V18,8.378366156719611,16.404221057891846,1.0666174091883263
V19,9.061563334351836,16.526010990142822,3.0923130433363912
whole GM,8.355600168444374,11.523607015609741,N/A
