Tract,logZi,time,CALI
V1,10.487679938768451,21.265931129455566,1.8502875434860604
V2,10.453582958365422,20.070220947265625,1.8284443532905792
V3,10.421400592336363,20.025776147842407,1.866670745304242
V4,10.25402704165525,23.173784017562866,1.3307074439394562
V5,9.9405174826519,18.12468385696411,0.6755807322394602
V6,10.463813543821239,11.948676824569702,1.8549585153027532
V7,10.116784321607307,13.974380016326904,1.0612885271714312
V8,10.105321338337406,15.174831867218018,0.924295075052979
V9,9.981401923240707,16.946008920669556,0.7820196522972975
V10,10.789755374444322,15.45586895942688,2.8416223993803937
V11,10.478873710564814,13.73664927482605,1.789916767806293
V12,10.371020624134228,15.08883285522461,1.5227756829461074
V13,9.947079030682318,13.796580076217651,0.8806880563428119
V14,10.214709481341952,12.650039911270142,1.2980434016278033
V15,10.248578368815691,13.991301774978638,1.177796989976995
V16,10.484102553028336,15.184030055999756,1.860634851130305
V17,10.56702848632298,12.107529878616333,2.3260309341948604
V18,10.166189227770023,14.024894952774048,1.0395459106254297
V19,10.072179459688893,12.35057806968689,0.8993673230496375
whole GM,10.213411738586085,14.312434196472168,N/A
