Tract index,CALI
1,0.39366451055950424
2,0.4278585814943523
3,0.39207221270413406
4,0.3745172229879139
5,0.4259083052598551
6,0.4016192540511345
7,0.4249038507930041
8,0.28030976609924796
9,0.4085054527619476
10,0.3157305398390369
11,0.45635277205741653
12,0.34564804688861317
13,0.6593883448153284
14,0.4901928295415896
15,0.29804807413869283
16,0.3061803630479869
17,0.43398366786285325
18,0.35655502637671477
19,0.24180059361561024
whole GM,14.060055833163737
Tract index,CALI
