Tract,logZi,time,logZi/logZ
V1,15.973601647874558,3.041476249694824,0.8808704210934212
V2,15.95726162306638,3.0514678955078125,0.9055853338455078
V3,15.807407595124449,3.084494113922119,0.8411302227669697
V4,15.87640029737144,3.0228140354156494,0.8436373207558792
V5,15.966525613737032,3.1289572715759277,0.8981536234642656
V6,15.954767350439113,3.1900200843811035,0.9019750551238543
V7,15.902114940809836,3.1247332096099854,0.8866438085433826
V8,15.862115240116252,3.053457021713257,0.7742693026251484
V9,15.886215514473571,3.58492374420166,0.8579447085684689
V10,15.922358374872074,3.814680814743042,0.831861333110865
V11,16.05038209835278,3.7446460723876953,0.9313971142279568
V12,15.934920120302841,3.7978029251098633,0.839852898087437
V13,15.876400434052114,3.2656078338623047,0.9841332819506392
V14,15.918565775303176,3.1811957359313965,0.9177258144436142
V15,15.931545226743811,3.1934659481048584,0.8033910712831127
V16,15.84434133733131,3.1527061462402344,0.7834076794921992
V17,15.878837195461205,2.702342987060547,0.907939132358173
V18,15.979084815314664,2.637261152267456,0.8664359593081352
V19,15.793362253802371,2.580834150314331,0.747455775841632
whole GM,16.250458897525565,2.0929930210113525,N/A
