Tract index,CALI
1,-0.05762256008769473
2,-0.04864969430976407
3,-0.049901265702543274
4,-0.052849817168808544
5,-0.04753168048748746
6,-0.04997513286629185
7,-0.053069979233201225
8,-0.05295098454200475
9,-0.04607764371559486
10,-0.05388526862000831
11,-0.06211939610210926
12,-0.05499581639816198
13,-0.05305691915414956
14,-0.05113343738999976
15,-0.05849368669876587
16,-0.05145059295414334
17,-0.044591812112904416
18,-0.0573575947575089
19,-0.047910921038831655
whole GM,13.190375163073092
