Tract,CALI
V1,-0.06791696579482775
V2,-0.06953596430821696
V3,-0.06387503983335974
V4,-0.06523274105572863
V5,-0.07125380388937985
V6,-0.0709565367531858
V7,-0.06902496057672469
V8,-0.06212689262873716
V9,-0.06976028812860346
V10,-0.06326049423886704
V11,-0.07294533798264424
V12,-0.06733415889424244
V13,-0.09418243769661427
V14,-0.07420315218486795
V15,-0.06520373575338967
V16,-0.06272438411893011
V17,-0.06969962235706362
V18,-0.06707114513349621
V19,-0.0596404598054846
whole GM,13.308326423742866
