Tract,CALI
V1,-0.00869674733890169
V2,-0.009285788102025072
V3,-0.008956990687731037
V4,-0.009122207854515674
V5,-0.008936028068854962
V6,-0.009984336772021485
V7,-0.009296979426201557
V8,-0.009661499299213783
V9,-0.009959121446762365
V10,-0.009443886570616566
V11,-0.008391651173511039
V12,-0.009310869349536843
V13,-0.010820932140177542
V14,-0.010275041250199402
V15,-0.00962221870679203
V16,-0.009860673732175362
V17,-0.01001743351220763
V18,-0.009062152380276967
V19,-0.009906874980169733
whole GM,13.198301025372006
