Tract,CALI
V1,-0.060503086017699714
V2,-0.06198439232580755
V3,-0.0575664981785704
V4,-0.05844173346353754
V5,-0.061384622180096104
V6,-0.06114552221988645
V7,-0.06033165131357843
V8,-0.056403089702848686
V9,-0.060689371479573984
V10,-0.05796549665364814
V11,-0.06429263100712379
V12,-0.05877623108534191
V13,-0.07596114983551028
V14,-0.06461471961796272
V15,-0.05834115916268112
V16,-0.05718329316774762
V17,-0.06103053240249989
V18,-0.05986465391328477
V19,-0.05415607991158333
whole GM,13.219535476737564
