Tract index,CALI
1,-0.1598084670855784
2,-0.14776940393937954
3,-0.13383839301765488
4,-0.14249943870696158
5,-0.14527737464503
6,-0.14671900534009596
7,-0.1494306251686397
8,-0.1314812884656874
9,-0.1361576699386161
10,-0.13995525909513407
11,-0.18430174805453137
12,-0.14684899098593307
13,-0.20829977509758202
14,-0.16086468702089707
15,-0.15068796906542503
16,-0.1310764102409896
17,-0.1323822183228549
18,-0.15530017807862329
19,-0.11240425471678872
whole GM,13.286664090453387
