Tract index,CALI
1,-0.7153192609504622
2,-0.7427681654635079
3,-0.5643933186834741
4,-0.6063513177389566
5,-0.7425064074816876
6,-0.7178832193287328
7,-0.6803299761658527
8,-0.49397789683243387
9,-0.652113960239197
10,-0.566424412644936
11,-0.8212051255221675
12,-0.6192954704292186
13,-0.9476003289981926
14,-0.7858237467207028
15,-0.5933526068615032
16,-0.5203104825083686
17,-0.6461439848059674
18,-0.6572109562664533
19,-0.349842029243596
whole GM,14.25589053377856
Tract index,CALI
1,-0.7154278192759969
2,-0.7435892196304259
3,-0.5639492985963188
4,-0.6056668540729993
5,-0.7427737901137849
6,-0.7179213986938289
7,-0.6806667950085468
8,-0.49442274042069023
9,-0.6525031407934301
10,-0.5663824403298467
11,-0.8212512834267591
12,-0.619387208675287
13,-0.9482430696596859
14,-0.785823971456941
15,-0.5939646515296686
16,-0.5201527838528982
17,-0.645583778144285
18,-0.6574907583347893
19,-0.34985506767828656
whole GM,14.25587730709753
