Tract,CALI
V1,-0.271063948274466
V2,-0.3055504808246491
V3,-0.2865824651568295
V4,-0.2637092112851813
V5,-0.29013546544254865
V6,-0.2828241615096857
V7,-0.3368490427173406
V8,-0.31899321722952667
V9,-0.2799180274216886
V10,-0.22992228844846074
V11,-0.2918997472096502
V12,-0.2727064239056296
V13,-0.3621937638630942
V14,-0.2999513084623654
V15,-0.2872432207689972
V16,-0.25760810420432145
V17,-0.2686309824484241
V18,-0.2723504669119874
V19,-0.22776147295254456
whole GM,13.939891217769357
