Tract index,CALI
1,-0.12210927900154811
2,-0.11518733967897266
3,-0.11030445337896211
4,-0.11444647797515728
5,-0.11421118226637161
6,-0.11507502420146731
7,-0.11675339065633406
8,-0.11138349361283495
9,-0.11003950635012505
10,-0.11398904055984072
11,-0.13197629325275562
12,-0.11696494590149276
13,-0.13667402023414543
14,-0.12049869825871007
15,-0.11872867801549325
16,-0.11071767058660731
17,-0.10909693672244114
18,-0.12060221708831709
19,-0.10340572671628923
whole GM,13.270762187528737
