Tract,CALI
V1,-0.4230752779698571
V2,-0.45065634281373856
V3,-0.3797152361093581
V4,-0.39477130594097476
V5,-0.45059207935306134
V6,-0.43519033042719535
V7,-0.4285813866625854
V8,-0.3426220419222349
V9,-0.4374985882722904
V10,-0.377751727198516
V11,-0.4610339917774755
V12,-0.3974144934513172
V13,-0.5480949816669254
V14,-0.4811183859788989
V15,-0.3806238352749962
V16,-0.36158842445879347
V17,-0.4401401272703024
V18,-0.4095103573101644
V19,-0.2750797016067025
whole GM,15.764403326919183
